id,title,company,location,category,job_type,publication_date,salary,url,source
arbeitnow_bilanzbuchhalter-accountant-100-remote-vollzeit-oder-teilzeit-stuttgart-159737,Bilanzbuchhalter / Accountant (m/w/d) 100 % remote | Vollzeit oder Teilzeit,hurra.com,Stuttgart,Technology,Remote,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/hurracom/bilanzbuchhalter-accountant-100-remote-vollzeit-oder-teilzeit-stuttgart-159737,Arbeitnow
arbeitnow_internship-online-marketing-und-community-management-bei-meet5-frankfurt-am-main-379990,Internship Online Marketing und Community Management bei Meet5 (m/w/d),Meet5 GmbH,Frankfurt am Main,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/meet5-gmbh/internship-online-marketing-und-community-management-bei-meet5-frankfurt-am-main-379990,Arbeitnow
arbeitnow_staff-backend-engineer-net-munchen-118155,Staff Backend Engineer (.NET) (f/m/d),Apaleo,"München, Bavaria, Germany",Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/apaleo/staff-backend-engineer-net-munchen-118155,Arbeitnow
arbeitnow_senior-backend-engineer-net-munchen-116337,Senior Backend Engineer (.NET) (f/m/d),Apaleo,"München, Bavaria, Germany",Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/apaleo/senior-backend-engineer-net-munchen-116337,Arbeitnow
arbeitnow_safety-inspector-berlin-280755,Safety Inspector (m/w/d),Flix,"Berlin, Berlin, Germany",Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/flix/safety-inspector-berlin-280755,Arbeitnow
arbeitnow_hse-manager-im-raum-stuttgart-gesucht-425078,HSE Manager (w/m/d) im Raum Stuttgart gesucht!,agex IT gmbh,Stuttgart,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/agex-it-gmbh/hse-manager-im-raum-stuttgart-gesucht-425078,Arbeitnow
arbeitnow_junior-consultant-bankenberater-munich-344392,(Junior) Consultant - Bankenberater (m/w/d),Genossenschaftsverband Bayern e.V.,Munich,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/genossenschaftsverband-bayern-ev/junior-consultant-bankenberater-munich-344392,Arbeitnow
arbeitnow_senior-berater-fur-banksteuerung-und-controlling-in-kreditgenossenschaften-munich-494632,(Senior) Berater für Banksteuerung und Controlling in Kreditgenossenschaften (m/w/d),Genossenschaftsverband Bayern e.V.,Munich,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/genossenschaftsverband-bayern-ev/senior-berater-fur-banksteuerung-und-controlling-in-kreditgenossenschaften-munich-494632,Arbeitnow
arbeitnow_videografin-content-creatorin-all-gender-berlin-326478,Videograf:in/Content-Creator:in (all gender),5ter Stock Medienproduktion GmbH,Berlin,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/5ter-stock-medienproduktion-gmbh/videografin-content-creatorin-all-gender-berlin-326478,Arbeitnow
arbeitnow_prufungsassistent-fur-waren-und-dienstleistungsgenossenschaften-ingolstadt-38989,Prüfungsassistent für Waren- und Dienstleistungsgenossenschaften (m/w/d),Genossenschaftsverband Bayern e.V.,Ingolstadt,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/genossenschaftsverband-bayern-ev/prufungsassistent-fur-waren-und-dienstleistungsgenossenschaften-ingolstadt-38989,Arbeitnow
